NQUEST,NCOMP,nord,SEX,PARENT,NASC,ANASC,CIT,ANINGR,MOTIV,STACIV,STUDIO,TIPOLAU,VOTOEDU,SUEDU,SELODE,ANNOEDU,TIPODIP,UNIVER,PRESNORD,NORDP,MOTENT,ANNOENUS,B01,APQUAL2,ASNONOC2,NACE2,NESPLAV,EXLAV,ETALAV,DISLAV,DISANN1,DISANN2,CONTRIB,ACONTRIB,FCONTRIB,OCCNOW,PROBLAV1,CERC2,PROBLAV2,SALMIN,SMARTW,SMARTWA,SMARTWB,ETAPEN,COPPU,PREVCOM,COPPIP,B16,B17A,B17B,B18,B19A,B19B,B19C,ATTIVP,ISCO,NACE,ETALAV2,MISCOVID1,MISCOVID2,MISCOVIDV1,ETA,NASCREG,NASCAREA,IREG,PARENTP,smartwa1,CLETA5,QUAL,Q,SETT,CFRED,PERC,PERL,NPERL,NPERC,AREA3,AREA5,ACOM4C,ACOM5,PESOFIT,PESOFIT2
935676,2,2,2,2,1,1949,1,,,1,4,,,,,,,,2,,,,2,15,2,19,1,,15,2,,,1,37,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,71,5,1,5,,,5,6,3,5,0,1,0,0,2,1,2,2,5,0.4613922513,1868.538326
935682,2,1,1,1,1,1949,1,,,1,5,,7,10,,1968,2,2,1,,,,2,15,2,15,1,,20,2,,,1,41,1,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,71,5,1,5,,,5,6,3,5,1,1,0,0,2,1,2,2,5,0.6675208678,2703.3144172
935682,2,2,2,2,1,1951,1,,,1,4,,,,,,,,2,,,,2,15,2,15,2,1,19,2,,,1,40,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,69,5,1,5,,,5,6,3,5,0,1,0,0,2,1,2,2,5,0.6675208678,2703.3144172
935683,2,1,1,1,1,1951,1,,,1,5,,50,60,,1970,1,2,1,,,,2,15,2,22,1,,19,2,,,1,40,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,69,5,1,5,,,5,6,3,5,1,1,0,0,2,1,2,2,5,0.3434112473,1390.7409052
935683,2,2,2,2,1,1952,1,,,1,4,,,,,,,,1,,,,2,15,2,22,1,,20,1,1,,1,30,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,68,5,1,5,,,5,6,3,5,0,1,0,0,2,1,2,2,5,0.3434112473,1390.7409052
935685,2,1,1,1,1,1949,1,,,1,7,9,110,110,1,1975,3,,1,,,,2,15,3,16,1,,26,2,,,1,40,4,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,71,5,1,5,,,5,6,3,5,1,1,0,0,2,1,2,2,5,0.2047729008,829.28573733
935685,2,2,2,2,1,1949,1,,,1,7,9,110,110,1,1973,3,,2,,,,2,15,3,16,1,,24,2,,,1,40,4,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,71,5,1,5,,,5,6,3,5,0,1,0,0,2,1,2,2,5,0.2047729008,829.28573733
935686,2,1,1,1,1,1949,1,,,1,7,4,108,110,0,1973,3,,1,,,,1,6,,,6,3,23,2,,,1,40,1,1,100,2,,,1,3,5,67,70,,,2,1,2,1,2,2,2,,1213,11,65,2,2,,71,5,1,5,,,5,4,2,4,1,1,1,1,1,1,2,2,5,0.2047729008,829.28573733
935686,2,2,2,2,1,1954,1,,,1,7,10,110,110,1,2013,4,,2,,,,2,14,,,3,3,25,2,,,1,10,0,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,66,5,1,5,,,5,7,3,5,0,0,0,1,1,1,2,2,5,0.2047729008,829.28573733
935693,2,1,1,1,1,1946,1,,,1,7,4,108,110,0,1971,3,,1,,,,2,15,5,10,1,,26,2,,,1,35,5,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,74,5,1,5,,,5,6,3,5,1,1,0,0,2,1,2,2,5,0.2047729008,829.28573733
935693,2,2,2,2,1,1947,1,,,1,7,1,107,110,0,1971,3,,2,,,,2,15,4,16,1,,25,2,,,1,40,5,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,73,5,1,5,,,5,6,3,5,0,1,0,0,2,1,2,2,5,0.2047729008,829.28573733
935695,3,1,1,1,1,1951,1,,,1,7,9,110,110,1,1975,3,,1,,,,2,16,,,1,,24,2,,,1,39,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,69,5,1,5,,,5,6,3,5,1,1,0,0,1,1,2,2,5,0.4327908786,1752.7089838
935695,3,2,2,2,1,1953,1,,,1,5,,36,60,,1972,3,2,1,,,,2,13,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,67,8,1,5,,,5,7,3,5,0,0,0,0,1,1,2,2,5,0.4327908786,1752.7089838
935695,3,3,1,6,1,1985,1,,,2,7,10,108,110,0,2019,4,,2,,,,2,12,20,18,1,,34,,,1,2,,,2,,1,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,35,5,1,5,,,2,7,3,5,0,0,0,0,1,1,2,2,5,0.4327908786,1752.7089838
935697,1,1,1,1,1,1948,1,,,3,5,,7,10,,1966,2,2,1,,,,2,15,4,22,1,,19,2,,,1,37,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,72,5,1,5,,,5,6,3,5,1,1,0,0,1,1,2,2,5,0.5699829289,2308.3069663
935702,4,1,1,1,1,1956,1,,,1,3,,,,,,,,1,,,,2,15,8,19,4,3,14,2,,,1,46,1,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,64,18,3,5,,,4,6,3,5,0,1,0,1,2,1,2,2,5,0.8325907115,3371.8114035
935702,4,2,2,2,1,1958,1,,,1,7,3,102,110,0,1986,3,,2,,,,1,6,,,3,3,32,2,,,1,30,0,1,,2,,,2,,,,,,,2,1,2,2,2,2,2,,2212,17,46,2,2,,62,19,3,5,,,4,4,2,3,1,1,1,1,2,1,2,2,5,0.8325907115,3371.8114035
935702,4,3,2,6,1,1997,1,,,2,5,,56,60,,2016,3,1,2,,,,2,17,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,23,5,1,5,,,1,7,3,5,0,0,0,1,2,1,2,2,5,0.8325907115,3371.8114035
935702,4,4,2,6,1,1998,1,,,2,5,,10,10,,2017,3,1,2,,,,2,17,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,22,5,1,5,,,1,7,3,5,0,0,0,1,2,1,2,2,5,0.8325907115,3371.8114035
935705,2,1,1,1,1,1956,1,,,1,5,,38,60,,1976,2,2,1,,,,1,6,,,1,,20,2,,,1,43,0,1,100,2,,,2,,,70,70,,,2,1,2,2,2,2,2,,2149,6,,2,2,,64,5,1,5,,,4,4,2,4,1,1,1,1,2,1,2,2,5,0.404315815,1637.3911657
935705,2,2,2,2,1,1949,1,,,1,5,,10,10,,1968,5,2,2,,,,2,15,3,16,1,,21,2,,,1,38,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,71,5,1,5,,,5,6,3,5,0,1,0,1,2,1,2,2,5,0.404315815,1637.3911657
935713,1,1,2,1,1,1930,1,,,4,3,,,,,,,,1,,,,2,15,1,19,3,1,19,2,,,1,35,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,90,5,1,5,,,5,6,3,5,1,1,0,0,1,1,2,2,5,1.3031760275,5277.5796431
935714,4,1,1,1,1,1955,1,,,1,8,3,100,110,0,1982,3,,1,,,,1,6,,,1,,26,2,,,1,36,1,1,99,2,,,1,0,4,70,80,,,2,1,2,2,2,2,2,,2212,17,,1,2,1000,65,5,1,5,,,5,4,2,3,1,1,1,1,1,1,2,2,5,1.0798105706,4372.998095
935714,4,2,2,2,1,1972,1,,,1,5,,10,10,,1992,5,2,2,,,,2,13,,,1,,19,2,,,1,2,0,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,48,5,1,5,,,3,7,3,5,0,0,0,1,1,1,2,2,5,1.0798105706,4372.998095
935714,4,3,1,6,1,2000,1,,,2,5,,88,100,,2018,3,1,2,,,,2,17,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,20,5,1,5,,,1,7,3,5,0,0,0,1,1,1,2,2,5,1.0798105706,4372.998095
935714,4,4,2,6,1,2004,1,,,2,3,,,,,,,,2,,,,2,17,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,16,5,1,5,,,1,7,3,5,0,0,0,1,1,1,2,2,5,1.0798105706,4372.998095
935716,2,1,1,1,1,1958,1,,,1,5,,56,60,,1977,2,1,1,,,,1,4,,,2,3,21,2,,,1,43,1,1,100,2,,,1,0,5,62,85,2,,1,2,2,2,2,2,2,,1213,19,53,2,2,,62,5,1,5,,,4,3,1,4,1,1,1,2,2,1,2,2,5,0.4755644434,1925.9326234
935716,2,2,2,2,1,1969,1,,,1,5,,48,60,,1987,2,1,2,,,,1,2,,,1,,21,2,,,1,30,0,1,,2,,,1,0,5,,,2,,1,2,2,2,2,2,2,,4312,19,,2,2,,51,5,1,5,,,3,2,1,4,0,1,1,2,2,1,2,2,5,0.4755644434,1925.9326234
935729,4,1,2,1,2,1984,2,1999,2,1,4,,,,,,,,1,,,,1,1,,,3,1,19,1,2,,1,5,0,1,50,2,,,2,,,65,100,3,,1,2,2,2,2,2,2,,5322,17,35,1,2,1000,36,,,5,,,2,1,1,3,0,1,1,2,2,1,2,2,5,1.6322766022,6610.365435
935729,4,2,1,2,2,1976,2,2000,3,1,3,,,,,,,,2,,,,1,1,,,10,1,16,1,1,,1,11,0,1,,2,,,2,,,,,3,,1,2,2,2,2,2,2,,7514,3,42,1,2,1000,44,,,5,,,2,1,1,2,1,1,1,2,2,1,2,2,5,1.6322766022,6610.365435
935729,4,3,2,6,1,2005,1,,,2,3,,,,,,,,2,,,,2,17,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,15,5,1,5,,,1,7,3,5,0,0,0,2,2,1,2,2,5,1.6322766022,6610.365435
935729,4,4,1,6,1,2011,1,,,2,1,,,,,,,,,,,,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,,0,,,,,,9,5,1,5,,,1,7,3,5,0,0,0,2,2,1,2,2,5,1.6322766022,6610.365435
935741,3,1,1,1,1,1967,1,,,1,7,8,78,100,0,1995,2,,1,,,,1,2,,,5,3,30,1,1,,1,22,0,1,90,2,,,2,,,68,25,2,,1,1,2,2,2,2,2,1,3119,3,33,2,2,,53,5,1,5,,,3,2,1,2,0,1,1,2,2,1,2,2,5,0.9210594681,3730.0906372
935741,3,2,2,2,1,1967,1,,,1,7,9,90,100,0,1995,3,,2,,,,1,2,,,1,,20,2,,,1,28,0,1,,2,,,2,,,,,2,,1,2,2,2,2,2,2,,2352,16,,2,2,,53,5,1,5,,,3,2,1,3,1,1,1,2,2,1,2,2,5,0.9210594681,3730.0906372
935741,3,3,2,6,1,2004,1,,,2,3,,,,,,,,2,,,,2,17,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,16,5,1,5,,,1,7,3,5,0,0,0,2,2,1,2,2,5,0.9210594681,3730.0906372
