NQUEST,TIPOI,QUEST,NQUESTP,STUPCF,STUMCF,STUPCO,STUMCO,CITPCF,CITMCF,CITPCO,CITMCO,VITGEN,NGEN,FIGLI,NFIGLI,PARNOIT,ANCONV,CONTINT,NCOMP
807146,1,3,,,,,,,,,,1,1,1,2,2,,2,3
807165,1,3,,,,,,,,,,2,,1,2,,1971,2,2
807255,2,3,,,,,,,,,,2,,1,1,,1996,4,4
807303,2,3,,,,,,,,,,1,1,1,1,,1986,2,2
807625,1,3,,2,4,,,1,1,,,2,,1,2,2,,1,1
808122,2,3,,3,4,,,1,1,,,1,2,2,,2,,2,1
808169,1,3,,1,1,1,1,1,1,1,1,2,,2,,,1971,1,2
808182,2,3,,1,1,1,1,1,1,1,1,2,,2,,,1987,4,2
809285,2,3,,2,2,7,7,1,1,1,1,2,,2,,,1969,2,2
809488,1,3,,2,3,3,2,2,2,2,2,1,2,2,,,1998,1,4
809918,2,3,,1,1,2,2,1,1,1,1,1,1,1,1,,1980,3,3
810104,1,3,,,,,,,,,,2,,1,2,,,1,2
810855,1,3,,3,3,,,1,1,,,2,,2,,2,,1,1
811793,2,3,,,,,,,,,,1,2,1,1,,1986,3,3
811807,1,3,,1,1,1,1,1,1,1,1,2,,1,2,,1964,2,2
811952,2,3,,,,,,,,,,1,2,2,,2,,3,1
812006,1,3,,3,3,,,1,1,,,2,,1,3,,,1,2
812015,2,3,,,,,,,,,,2,,2,,2,,3,3
812794,1,3,,3,3,3,3,1,1,1,1,1,3,2,,,2007,2,3
812849,1,3,,,,,,,,,,2,,1,1,,1964,3,3
813109,1,3,,3,4,5,4,1,1,1,1,1,1,1,2,,1977,3,2
813246,1,3,,1,1,,,1,1,,,2,,1,1,,,2,2
813283,1,3,,4,4,4,4,1,1,1,1,2,,1,2,,1966,2,2
813349,1,3,,2,2,7,1,1,1,1,1,2,,1,2,,1983,1,2
813379,1,3,,2,1,,,1,1,,,1,1,1,2,,,1,1
813686,1,3,,7,7,2,2,1,1,1,1,2,,2,,,1969,1,2
813713,1,3,,2,2,,,1,1,,,2,,1,1,2,,1,1
813729,1,3,,3,2,,,1,1,,,2,,2,,2,,7,3
813912,1,3,,,,,,,,,,2,,2,,,1991,1,5
