NQUEST,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA11,YTA12,YTA2,YTA3,YTA31,YTA32,YTA4,YTA5,YM,YC,YCA,YCA1,YCA2,YCF,YCF1,YCF2,YCF3,YCF4,CLY,CLY2
56603,25601.128986,15400,15400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5400,4801.1289862,4800,0,4800,1.1289862266,1.1289862266,0,0,0,5,3
56658,30249.222799,0,0,0,22880,22880,22880,0,0,0,0,0,0,0,0,0,0,0,0,7369.2227986,7200,0,7200,169.2227986,169.2227986,0,0,0,6,3
56677,58296.982983,14521,14521,0,28171,28171,28171,0,0,0,0,0,0,0,0,0,0,0,0,15604.982983,15600,0,15600,4.9829833977,4.9829833977,0,0,0,9,5
56721,23526.735281,0,0,0,16900,16900,16900,0,0,0,0,0,0,0,0,0,0,0,0,6626.7352807,6400,0,6400,226.73528068,108.46045953,0,118.27482115,0,4,2
56761,80060.103951,21000,21000,0,28370,27170,27170,0,1200,0,0,0,0,0,0,0,1200,0,18000,12690.103951,12000,0,12000,690.1039506,433.84183811,0,256.26211249,0,10,5
56762,33563.403973,0,0,0,27300,27300,27300,0,0,0,0,0,0,0,0,0,0,0,0,6263.4039731,6000,0,6000,263.40397314,263.40397314,0,0,0,6,3
57042,9600.6197741,0,0,0,7200,7200,7200,0,0,0,0,0,0,0,0,0,0,0,0,2400.6197741,2400,0,2400,0.6197740544,0.6197740544,0,0,0,1,1
57138,23703.718644,0,0,0,7800,19800,19800,0,-12000,0,0,0,0,-12000,0,12000,0,0,0,15903.718644,15900,300,15600,3.7186443267,3.7186443267,0,0,0,4,2
57621,50627.390952,0,0,0,37050,37050,37050,0,0,0,0,0,0,0,0,0,0,0,0,13577.390952,13500,0,13500,77.390952191,77.390952191,0,0,0,8,4
57670,52699.871735,43700,43700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8999.8717345,9600,0,9600,-600.1282655,27.88983245,0,0,628.01809795,9,5
57779,45015.494351,13000,13000,0,19500,19500,19500,0,0,0,0,0,0,0,0,0,0,0,0,12515.494351,12500,0,12500,15.494351361,15.494351361,0,0,0,8,4
57962,77245.222604,0,0,0,54600,54600,54600,0,0,0,0,0,0,0,0,0,0,0,0,22645.222604,19300,0,19300,3345.2226038,10.846045953,0,3334.3765579,0,10,5
60078,20801.549435,0,0,0,14800,9600,9600,0,5200,0,0,0,0,0,0,0,0,5200,0,6001.5494351,6000,0,6000,1.5494351361,1.5494351361,0,0,0,4,2
91071,44079.052186,37700,37700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6379.0521856,6000,0,6000,379.05218558,19.506327814,0,359.54585777,0,8,4
91079,42433.181061,34000,34000,0,1500,0,0,0,1500,0,0,0,1000,0,0,0,500,0,0,6933.1810615,6855,0,6855,78.181061461,78.181061461,0,0,0,8,4
91081,53904.994105,39517.241379,39517.24,0,2482.7586207,0,0,0,2482.7586207,2482.7586207,2482.7586207,0,0,0,0,0,0,0,0,11904.994105,12000,7200,4800,-95.00589501,5.57796649,0,78.849880766,179.43374227,9,5
91095,46012.571639,30150,30000,150,-5000,0,0,0,-5000,0,0,0,0,-5000,0,5000,0,0,0,20862.571639,20500,6500,14000,362.57163913,7.7471756805,0,354.82446345,0,8,4
111052,26353.09887,0,0,0,22150,22150,22150,0,0,0,0,0,0,0,0,0,0,0,0,4203.0988703,4200,0,4200,3.0988702722,3.0988702722,0,0,0,5,3
145007,95854.871356,16800,16800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,54054.871356,54000,4000,50000,54.871356099,54.871356099,0,0,0,10,5
178001,16902.479096,0,0,0,16900,16900,16900,0,0,0,0,0,0,0,0,0,0,0,0,2.4790962178,0,0,0,2.4790962178,2.4790962178,0,0,0,3,2
213440,28004.734042,0,0,0,20800,20800,20800,0,0,0,0,0,0,0,0,0,0,0,0,7204.7340418,7200,0,7200,4.7340418434,4.7340418434,0,0,0,6,3
224048,8307,0,0,0,8307,8307,8307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
230029,30146.70814,0,0,0,24050,24050,24050,0,0,0,0,0,0,0,0,0,0,0,0,6096.7081399,3600,0,3600,2496.7081399,114.26623057,0,2382.4419093,0,6,3
230037,40589.089821,0,0,0,36400,36400,36400,0,0,0,0,0,0,0,0,0,0,0,0,4189.0898213,4500,0,4500,-310.9101787,3.0988702722,0,0,314.00904897,7,4
237003,53474.790962,0,0,0,46150,46150,46150,0,0,0,0,0,0,0,0,0,0,0,0,7324.7909622,7300,0,7300,24.790962178,24.790962178,0,0,0,9,5
244013,27894.977863,0,0,0,22490,22490,22490,0,0,0,0,0,0,0,0,0,0,0,0,5404.9778632,5400,0,5400,4.977863157,4.977863157,0,0,0,5,3
244058,18604.951969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,3604.9519686,3600,0,3600,4.9519686344,4.9519686344,0,0,0,3,2
250005,14988.309887,0,0,0,12588,12588,12588,0,0,0,0,0,0,0,0,0,0,0,0,2400.309887,2400,0,2400,0.3098870272,0.3098870272,0,0,0,2,1
250010,20800,0,0,0,20800,6600,6600,0,14200,7000,0,7000,0,0,0,0,0,7200,0,0,0,0,0,0,0,0,0,0,4,2
250039,9600.6197741,0,0,0,7200,7200,7200,0,0,0,0,0,0,0,0,0,0,0,0,2400.6197741,2400,0,2400,0.6197740544,0.6197740544,0,0,0,1,1
282083,13197.254293,0,0,0,13195,13195,13195,0,0,0,0,0,0,0,0,0,0,0,0,2.2542930221,0,0,0,2.2542930221,2.2542930221,0,0,0,2,1
282089,29611.367671,0,0,0,18200,18200,18200,0,0,0,0,0,0,0,0,0,0,0,0,11411.367671,11400,0,11400,11.36767096,11.36767096,0,0,0,6,3
284086,27020.142657,0,0,0,22800,22800,22800,0,0,0,0,0,0,0,0,0,0,0,0,4220.1426568,4200,0,4200,20.142656769,20.142656769,0,0,0,5,3
310002,16601.549435,0,0,0,11200,11200,11200,0,0,0,0,0,0,0,0,0,0,0,0,5401.5494351,5400,0,5400,1.5494351361,1.5494351361,0,0,0,3,2
