NQUEST,CTIT,NCTIT,ICTIT,UNABAN,BANCHE,QUOTAINTP,SCOPER,UTSCOPER,MESISCOPER,VMSCOPER,FSCOPER,FSCOPER1,CARTA,CARTE,USOCART,CARTDEB,CARTDEB1,BANCOMAT,NBANCOMA,CARTAPRE,NCARTAPRE,SPESECON,COLDIS,TRADING,ECREDIT,INTERNET,EBUY,PRELN,PRELQUALIT,PRELMOTIV1,PRELMOTIV2,PRELMOTIV3,DEPOSIT,NDEPOSIT
32861,1,1,2,1,1,,1,2,,,,,2,,,,,1,1,1,1,500,1,3,3,1,3,3,8,,,,1,1
32887,2,,,2,2,60,2,,,,,,1,2,2,,,2,,2,,400,1,3,3,1,2,2,7,,,,1,3
33036,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,500,2,,,2,,3,10,,,,1,2
33038,2,,,1,1,,1,2,,,,,2,,,,,1,2,2,,1000,2,,,1,1,6,5,1,1,1,1,1
33275,2,,,1,1,,1,2,,,,,1,2,2,,,1,2,2,,450,2,,,1,3,2,9,,,,1,1
33303,2,,,1,1,,2,,,,,,2,,,,,1,2,2,,750,2,,,2,,5,7,,,,1,1
33335,1,2,2,2,3,50,2,,,,,,1,1,1,,,1,3,2,,200,1,3,3,1,2,1,6,,,,1,4
33451,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,500,1,3,3,1,2,1,8,,,,1,1
33479,2,,,1,1,,2,,,,,,1,1,2,,,1,1,2,,2000,2,,,2,,1,8,,,,1,1
33839,,,,1,1,,,,,,,,2,,,,,1,1,2,,500,2,,,2,,3,8,,,,1,1
33882,2,,,1,1,,2,,,,,,1,1,1,,,1,1,2,,500,2,,,2,,3,8,,,,1,1
33937,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,500,2,,,2,,2,8,,,,1,2
34252,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,800,2,,,2,,4,6,,,,1,1
34778,2,,,1,1,,1,2,,,,,1,1,2,,,1,2,2,,400,1,2,3,1,2,2,7,,,,1,1
34825,1,1,1,2,2,80,2,,,,,,2,,,,,1,2,1,1,200,1,3,3,1,2,2,10,,,,1,2
35022,2,,,1,1,,2,,,,,,2,,,,,1,2,2,,1000,2,,,1,3,3,7,,,,1,1
35234,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,250,2,,,1,3,1,10,,,,1,1
35322,2,,,1,1,,3,,,,,,2,,,,,1,1,2,,800,2,,,2,,2,7,,,,1,1
35323,,,,1,1,,,,,,,,2,,,,,2,,2,,600,2,,,2,,1,8,,,,1,1
35340,,,,1,1,,,,,,,,2,,,,,1,1,2,,600,2,,,1,3,1,6,,,,1,1
35372,2,,,1,1,,2,,,,,,2,,,,,1,2,2,,1000,2,,,1,3,5,10,,,,1,2
35379,2,,,1,1,,1,1,2,1500,0,,2,,,,,1,1,2,,500,2,,,1,2,8,8,,,,1,1
35640,2,,,1,1,,2,,,,,,1,2,2,,,1,2,2,,500,1,3,3,1,3,3,6,,,,1,1
