NQUEST,ASS2NEW1,ASS2NEW2,ASS2NEW3,ASS2NEW4,ASS2NEW5,ASS2NEW6,ASS1NEW1,ASS1NEW2,ASS1NEW3,ASS1NEW4,ASS1NEW5,ASS1NEW6,ASS4,ASS4S,ASS31,ASS3S1,ASS32,ASS3S2,ASS33,ASS3S3,DOCSEZF
675801,2,2,2,2,,,2,2,2,2,,,2,,1,1000,2,,2,,2
676000,2,,2,,,,2,2,2,,,,1,1000,2,,1,1000,2,,2
676060,,,,,,,2,,,,,,2,,1,450,2,,2,,2
676304,2,2,,,,,2,2,,,,,2,,1,600,2,,2,,2
676374,,,,,,,2,2,,,,,1,450,1,425,1,400,2,,2
676521,,2,1,,,,2,2,2,,,,2,,1,450,2,,2,,2
676557,2,2,2,,,,2,2,2,,,,2,,2,,2,,2,,2
676580,2,,,,,,2,,,,,,2,,2,,2,,2,,2
676807,2,,,,,,2,,,,,,2,,2,,2,,2,,2
676844,,2,2,2,,,2,2,2,2,,,2,,1,600,2,,2,,2
676851,2,,,,,,2,2,,,,,2,,1,530,2,,2,,1
676941,,,,,,,2,,,,,,2,,2,,2,,2,,2
677112,2,,,,,,1,,,,,,2,,1,400,2,,2,,2
677124,2,,,,,,2,,,,,,2,,2,,2,,2,,2
677167,,,,,,,1,2,,,,,2,,1,650,1,680,2,,2
677195,,,,,,,2,,,,,,2,,1,680,2,,2,,1
677287,,,,,,,2,,,,,,2,,1,350,2,,2,,2
677386,2,2,,,,,2,2,,,,,2,,2,,2,,2,,2
677464,,2,2,2,,,2,2,2,2,2,,2,,1,600,1,250,2,,2
677474,,,,,,,2,1,,,,,2,,1,278,2,,2,,1
677475,,,,,,,2,2,,,,,2,,1,1100,2,,2,,2
677476,2,2,,,,,2,2,,,,,2,,2,,2,,2,,2
677489,2,,,,,,2,,,,,,2,,1,100,2,,2,,1
677946,,,,,,,2,2,,,,,2,,1,760,1,420,2,,2
677964,2,,2,,,,2,2,2,,,,2,,1,350,2,,2,,2
678132,2,,,,,,1,,,,,,2,,1,320,2,,2,,1
678160,2,2,2,,,,2,2,2,,,,2,,1,1500,2,,2,,1
680143,,,,,,,2,,,,,,2,,1,400,1,300,2,,2
680239,,,,,,,2,1,,,,,2,,2,,2,,2,,2
680243,,,,,,,2,2,,,,,2,,1,500,1,290,2,,2
680244,1,2,2,,,,1,1,2,2,,,1,1000,1,1200,2,,2,,2
680430,2,2,,,,,2,2,,,,,2,,2,,2,,2,,2
680537,2,2,2,2,,,2,1,2,2,,,2,,1,1000,1,300,2,,2
680587,2,2,2,2,,,1,2,2,2,,,2,,1,110,2,,2,,2
680870,1,2,2,2,,,2,2,2,2,2,,1,1500,1,400,2,,2,,2
681097,,,,,,,2,2,,,,,2,,2,,2,,2,,2
681133,2,2,,,,,2,2,2,,,,2,,2,,2,,2,,2
681192,,2,,,,,2,2,,,,,2,,1,320,2,,2,,2
681349,,2,,,,,2,2,,,,,2,,2,,2,,2,,2
681387,2,,,,,,2,,,,,,2,,1,600,2,,2,,2
681394,2,1,,2,,,2,2,2,2,,,1,100,1,900,1,150,2,,2
681430,,,,,,,2,,,,,,2,,1,350,2,,2,,1
681499,,,,,,,2,,,,,,2,,1,453,2,,2,,1
681520,2,2,,,,,2,2,2,2,,,2,,2,,2,,2,,2
681668,,,,,,,2,2,,,,,2,,1,480,2,,2,,2
681713,2,2,2,,,,2,1,2,,,,1,500,1,1400,1,200,2,,2
681822,2,2,,,,,2,2,2,2,,,2,,2,,2,,2,,2
681844,2,2,2,2,,,2,2,2,2,,,2,,1,420,1,450,2,,2
682006,,,,,,,2,,,,,,2,,1,500,2,,2,,2
682125,,2,,,,,2,2,,,,,2,,1,600,2,,2,,2
682169,2,,,,,,2,,,,,,2,,2,,2,,2,,2
682170,,,,,,,2,2,,,,,2,,1,1000,1,500,2,,2
682192,,,,,,,2,2,,,,,2,,1,1300,1,300,2,,2
682204,2,1,2,2,,,2,2,2,2,,,2,,1,610,2,,2,,2
682210,,,,,,,2,,,,,,2,,1,400,2,,2,,2
682240,,,,,,,2,2,,,,,2,,1,420,1,320,2,,2
682272,2,2,2,,,,2,2,2,,,,2,,2,,1,263,2,,1
682298,2,2,2,2,,,2,2,2,2,2,,2,,1,500,2,,2,,2
682359,2,2,2,2,,,2,2,2,2,,,2,,2,,2,,2,,2
682360,2,,,,,,2,,,,,,2,,2,,2,,2,,2
682363,,,,,,,2,,,,,,2,,1,380,2,,2,,2
682408,2,1,,,,,2,2,2,,,,2,,1,600,2,,2,,2
682457,,2,,,,,2,2,,,,,2,,1,220,2,,2,,2
682496,2,2,,,,,2,2,,,,,2,,1,340,2,,2,,2
682732,2,,2,,,,2,2,2,,,,2,,2,,2,,2,,2
682737,,,2,,,,2,2,2,,,,2,,1,1500,1,142,2,,2
682782,,,,,,,2,,,,,,2,,2,,2,,2,,2
682812,2,2,,,,,2,2,,,,,2,,1,300,2,,2,,2
682829,,,,,,,2,,,,,,2,,1,150,1,300,2,,2
682897,2,,2,,,,2,2,2,,,,1,200,1,1300,2,,2,,2
682900,2,2,2,,,,2,2,2,,,,1,300,1,1235,1,121,2,,1
682918,,2,2,,,,2,2,2,,,,2,,1,1500,2,,2,,2
682969,,,,,,,2,,,,,,2,,1,300,2,,2,,2
683034,,2,,,,,2,2,,,,,2,,1,860,1,240,2,,2
683043,,2,,,,,2,2,,,,,2,,1,290,2,,2,,2
683119,1,1,2,,,,2,2,2,,,,1,360,1,600,1,220,2,,2
683121,,,,,,,2,,,,,,2,,1,240,1,170,2,,1
683164,2,2,2,,,,1,1,2,2,2,,1,1100,1,500,1,400,2,,2
683177,2,,,,,,2,2,,,,,2,,1,600,2,,2,,2
683247,,2,2,,,,2,2,2,,,,2,,2,,2,,2,,2
683248,,2,2,2,,,2,2,2,2,,,2,,2,,2,,2,,2
