NQUEST,TDEBITC,TDEBITD,TDEBITE,TDEBITF,TDEBITG,PFIMM,PFCONS,PFAZ,PFCARTE,PFCC,RATADEB_RES,RATADEB_AIMM,RATADEB_FAM,RATADEB_PROF,RATADEB,PFCOLL,PFNOCOLL
958064,,,,,,186111,,0,0,0,7740,,,,7740,186111,0
958079,,,,,,0,,0,0,0,,,,,,0,0
958081,,,,,,0,,0,0,0,,,,,,0,0
958083,,,,,,0,,0,0,0,,,,,,0,0
958098,,,,,,0,,0,0,0,,,,,,0,0
958100,,,,,,0,,0,0,0,,,,,,0,0
958102,,,,,,0,,0,0,0,,,,,,0,0
958104,,,,,,0,,0,0,2000,,,,,,0,2000
958111,,,,,,0,,0,0,1000,,,,,,0,1000
958112,,,,,,0,,0,0,0,,,,,,0,0
958114,,,,,,0,,0,0,0,,,,,,0,0
958115,,,,,,0,,0,0,0,,,,,,0,0
958116,,,,,,0,,0,0,0,,,,,,0,0
958117,,,,,,0,,0,0,0,,,,,,0,0
959012,,,,,,0,,0,0,0,,,,,,0,0
959022,3600,,,,,0,3600,82000,0,0,,,1980,18360,20340,85600,0
959040,,,,,,0,,0,0,0,,,,,,0,0
959058,,,,,,170000,,0,0,0,11000,,,,11000,170000,0
959098,,,,,,40000,,0,0,0,10000,,,,10000,0,40000
959114,,,,,,0,,0,0,0,,,,,,0,0
959124,,,,,,80000,,0,0,0,,12000,,,12000,80000,0
959131,,,,,,20000,,0,800,0,5500,,,,5500,20000,800
959134,,,,,,0,,0,0,0,,,,,,0,0
959167,4400,,,,,18000,4400,0,0,0,,6000,3600,,9600,22400,0
959207,,,,,,0,,0,0,0,,,,,,0,0
959238,,,,,,50000,,300000,1465.6538649,0,7200,,,,7200,50000,1465.6538649
959254,,,,,,0,,0,0,0,,,,,,0,0
959256,,,,,,0,,0,0,0,,,,,,0,0
959264,,,,,,345000,,0,0,0,19000,12000,,,31000,218000,127000
959315,,,,,,285000,,0,0,0,15000,,,,15000,285000,0
959343,,,,,,0,,0,0,0,,,,,,0,0
959351,,,,,,45000,,0,0,0,7200,,,,7200,45000,0
959373,,,,,,0,,0,0,4591.1617727,,,,,,0,4591.1617727
959381,,,,,,170000,,0,0,0,13500,4500,,,18000,140000,30000
