NQUEST,NORDEB1,DEBM1,DETRAZIONI1,DEBRF1,ANMUTUO1,MUTUODU1,MUTUOFIN1,MUTUOIN1,DEBGAR1,DEBPERS1,LTV1,TIPOTAX1,RATACON1,TAXFIS1,TAXVAR1,SOSPENS1,SOSPEORA1,RIPPAG1,RIPPAGQUA1,TMUTUOAB1,TDEBITA1,RIFINANZ1
956006,1,1,,2,2015,30,23,400000,1,,80,1,,1.2,,2,,,,1500,332500,2
956017,1,1,,2,2013,35,27,270000,1,,90,1,,2,,2,,,,9000,237000,1
956017,2,2,1,2,2019,10,8,30000,3,1,,1,,3,,2,,,,4000,24000,2
956041,1,1,,2,2010,30,20,300000,1,,60,3,2,2,1.1,2,,,,13000,216000,2
956056,1,1,,2,2010,25,14,200000,1,,90,1,,2,,2,,,,12000,150000,2
956098,1,1,,2,2011,30,20,300000,1,,50,3,1,1.2,0.2,1,2,1,6,3000,200000,1
956118,1,1,,2,2017,30,26,185000,1,,66,1,,1.8,,2,,,,8400,171493,2
956141,1,1,,2,2010,30,19,250000,1,,90,2,1,,3,1,2,1,5,12000,120000,2
956237,1,2,2,2,2019,2,1,10000,3,1,,1,,1.3,,2,,,,830,9160,2
956247,1,1,,2,2017,25,21,185000,1,,70,1,,1.9,,2,,,,8640,175000,2
956262,1,1,,2,2015,25,20,400000,1,,70,1,,2,,2,,,,17000,254000,2
956353,1,1,,2,2015,30,25,225000,1,,100,1,,1.5,,2,,,,9600,198000,1
956365,1,1,,2,2005,30,15,160000,1,,80,1,,2,,2,,,,5400,80000,2
956366,1,1,,2,2012,30,22,160000,1,,80,1,,2.5,,2,,,,6000,112000,2
956376,1,1,,2,2018,30,28,180000,1,,100,1,,2.5,,2,,,,7200,165000,2
956507,1,1,,2,2019,25,23,330000,1,,80,1,,5,,2,,,,14400,316000,2
956523,1,1,,2,2016,20,16,60000,1,,70,1,,4.5,,2,,,,3000,48000,2
956523,2,1,,2,2006,15,1,15000,2,,70,1,,5,,2,,,,3000,3000,2
956645,1,1,,2,2008,30,18,80000,1,,80,2,1,,5,2,,,,6000,52000,2
956660,1,1,,2,2019,30,28,150000,1,,80,1,,1.2,,2,,,,5000,140000,2
956665,1,1,,2,2017,25,21,240000,3,1,,1,,1.5,,2,,,,10800,189000,2
956672,1,1,,2,2019,25,23,220000,1,,90,1,,3,,2,,,,11300,202000,2
956781,1,1,,2,2012,25,16,280000,1,,60,3,2,0.9,3,2,,,,17280,100000,2
956800,1,1,,2,2015,25,20,300000,1,,50,2,2,,2.75,2,,,,14400,250000,1
956801,1,2,1,2,2018,10,8,80000,3,1,,2,1,,6,2,,,,12000,52000,2
956807,1,1,,2,2015,15,10,80000,1,,70,1,,1.95,,2,,,,4608,42229,2
956892,1,1,,2,2016,30,24,110000,1,,80,1,,2,,1,2,1,12,1000,100000,2
956898,1,1,,1,2019,10,9,60000,1,,50,3,1,9,3,2,,,,11000,45000,2
956898,2,3,,3,2010,20,9,137000,2,,80,2,1,,5.25,2,,,,11000,90000,2
956905,1,1,,2,2016,30,25,130000,1,,50,1,,6,,2,,,,4440,100000,2
956923,1,1,,2,2016,20,16,120000,1,,65,1,,6,,2,,,,15600,97700,2
956938,1,1,,2,2015,30,24,130000,1,,75,1,,4,,2,,,,6000,125000,2
956939,1,1,,2,2015,30,25,135000,1,,75,2,2,,1.56,1,2,1,18,3000,118000,2
956939,2,1,,2,2011,30,20,133000,2,,85,2,2,,0.59,2,,,,4339,104000,2
957009,1,1,,2,2007,30,16,250000,1,,40,2,2,,0.15,2,,,,7700,165000,2
957020,1,1,,2,2017,25,21,180000,1,,75,1,,1,,2,,,,9000,162000,1
957033,1,1,,2,2017,30,26,140000,1,,50,1,,2,,2,,,,8000,130000,2
957137,1,1,,2,2000,20,5,40000,1,,60,3,2,8,5,1,1,,,0,15000,1
957137,2,2,1,1,2017,4,4,20000,1,,30,1,,9,,1,1,,,2000,10000,1
957206,1,1,,2,2015,25,19,100000,1,,100,1,,1.5,,2,,,,4500,70000,2
957225,1,2,2,2,2002,30,11,30000,1,,100,1,,6,,1,1,,,0,10000,2
957296,1,2,2,2,2010,20,10,250000,1,,60,1,,1.5,,2,,,,12700,120000,2
957303,1,1,,2,2010,30,14,270000,1,,100,1,,2.5,,2,,,,9600,163000,2
957307,1,1,,2,2017,20,16,200000,1,,50,3,1,0.9,0.9,2,,,,12000,180000,2
957315,1,1,,2,2018,15,11,140000,1,,55,1,,1,,2,,,,10800,125000,2
957386,1,1,,2,2019,25,23,180000,1,,100,1,,2,,2,,,,7800,170000,2
957492,1,1,,2,2009,30,19,163000,1,,100,1,,0.9,,2,,,,10000,120000,1
957506,1,1,,2,2018,30,27,170000,1,,100,1,,1,,2,,,,6000,18000,2
957545,1,1,,2,2010,20,8,97000,1,,46,1,,4.16,,2,,,,5500,55000,2
957548,1,1,,2,2007,25,12,100000,1,,40,2,2,,0.8,2,,,,4000,57000,2
957548,2,1,,2,2007,25,15,125000,1,,45,1,,5.7,,2,,,,5000,70000,1
957552,1,1,,2,2017,25,20,190000,1,,80,1,,2.15,,2,,,,10000,172000,1
957556,1,1,,1,2010,25,15,146000,1,,80,1,,2,,2,,,,10800,120000,2
957579,1,1,,2,2007,25,10,250000,1,,80,2,2,,1.7,2,,,,11000,110000,2
957610,1,1,,1,2010,15,5,100000,1,,50,2,1,,1.5,2,,,,7656,38280,2
